Fund Name,ISIN,Asset Class,Sub-Category,Region,Funding Source,Distribution Type,Risk Rating (1-7),Fund Fees % p.a. (after Endowus cashback),1Y Return %,3Y Return % (annualised),1Y Payout % (Dist. funds)
Franklin Gold and Precious Metals Fund,LU2404266335,Equity,Commodities,Global,USD Cash,Accumulating,6,1.02,107.7,49.9,
Franklin Gold and Precious Metals Fund,LU2404266418,Equity,Commodities,Global,"SGD Cash, SRS",Accumulating,6,1.02,102.3,47.6,
BlackRock BGF World Mining Fund,LU0252968341,Equity,Commodities,Global,USD Cash,Accumulating,6,1.31,81.3,20.0,
BlackRock BGF World Mining Fund SGD-Hedged,LU0827890228,Equity,Commodities,Global,"SGD Cash, SRS",Accumulating,6,1.31,75.7,16.9,
Ninety One Global Natural Resources Fund (Dist.),LU0345781412,Equity,Commodities,Global,USD Cash,Distributing,6,1.15,62.5,19.9,0.5
Ninety One Global Natural Resources Fund SGD-Hedged,LU0638888429,Equity,Commodities,Global,SGD Cash,Accumulating,6,1.25,58.0,16.9,
GMO Resources Fund,IE00BLR74S61,Equity,Commodities,Global,USD Cash,Accumulating,6,0.76,92.9,10.5,
GMO Resources Fund,IE00BLR75050,Equity,Commodities,Global,SGD Cash,Accumulating,6,0.76,88.0,8.7,
DWS Invest Global Agribusiness Fund,LU0273164847,Equity,Commodities,Global,USD Cash,Accumulating,6,0.89,10.6,-0.4,
DWS Invest Global Agribusiness Fund,LU2052525768,Equity,Commodities,Global,SGD Cash,Accumulating,6,0.89,7.9,-1.9,
Neuberger Berman Next Generation Connectivity Fund,IE00BMPRXN33,Equity,Technology,Global,USD Cash,Accumulating,6,0.97,84.3,43.7,
Neuberger Berman Next Generation Connectivity Fund SGD-Hedged,IE00BMPRXR70,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,0.97,79.1,40.5,
BlackRock BGF Next Generation Technology Fund,LU1861216197,Equity,Technology,Global,USD Cash,Accumulating,6,0.99,94.7,36.3,
BlackRock BGF Next Generation Technology Fund SGD-Hedged,LU2290526321,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,0.99,88.6,33.3,
BlackRock BGF World Technology Fund,LU0724618946,Equity,Technology,Global,USD Cash,Accumulating,6,1.06,58.1,33.8,
BlackRock BGF World Technology Fund SGD-Hedged,LU1852331112,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,1.26,52.1,29.9,
Janus Henderson Horizon Global Technology Leaders Fund,LU0070992663,Equity,Technology,Global,USD Cash,Accumulating,6,1.15,54.3,32.7,
Janus Henderson Horizon Global Technology Leaders Fund,LU1316542783,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,1.15,50.6,30.6,
Franklin Technology Fund,LU0109392836,Equity,Technology,Global,USD Cash,Accumulating,6,1.05,47.2,29.8,
Franklin Technology Fund SGD-Hedged,LU1803068979,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,1.06,42.7,26.7,
JPM US Technology Fund (Dist.),LU0082616367,Equity,Technology,US,USD Cash,Distributing,6,0.96,34.9,28.8,0.0
JPM US Technology Fund,LU0719512351,Equity,Technology,US,"SGD Cash, SRS",Accumulating,6,1.05,31.5,26.7,
Allianz Global Artificial Intelligence Fund,LU1548497426,Equity,Technology,Global,USD Cash,Accumulating,6,1.23,51.8,27.6,
Allianz Global Artificial Intelligence Fund SGD-Hedged,LU2357305700,Equity,Technology,Global,CPF OA,Accumulating,6,0.89,48.1,25.2,
Allianz Global Artificial Intelligence Fund SGD-Hedged,LU1720051017,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,1.23,47.5,24.7,
Fidelity Global Technology Fund,LU1560650563,Equity,Technology,Global,USD Cash,Accumulating,6,1.04,41.2,26.0,
Fidelity Global Technology Fund,LU1823568750,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,1.14,36.6,23.1,
Franklin Shariah Technology Fund,LU2432581036,Equity,Technology,Global,USD Cash,Accumulating,6,0.9,60.9,33.1,
Franklin Shariah Technology Fund,LU2458330169,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,0.86,55.5,29.8,
(Natixis) Mirova Thematic AI & Robotics,LU1923623000,Equity,Technology,Global,USD Cash,Accumulating,6,1.13,32.9,16.2,
(Natixis) Thematics AI and Robotics Fund,LU1951200564,Equity,Technology,Global,"SGD Cash, SRS",Accumulating,6,1.18,29.6,14.4,
Janus Henderson Horizon Biotechnology Fund,LU1897414303,Equity,Healthcare/Biotech,Global,USD Cash,Accumulating,6,2.11,57.7,23.4,
Janus Henderson Horizon Biotechnology Fund,LU1988887292,Equity,Healthcare/Biotech,Global,"SGD Cash, SRS",Accumulating,6,2.23,53.9,21.4,
Janus Henderson Global Life Sciences Fund,IE0002141913,Equity,Healthcare,Global,USD Cash,Accumulating,6,1.57,20.3,8.8,
Janus Henderson Global Life Sciences Fund SGD-Hedged,IE00BJJMRZ35,Equity,Healthcare,Global,SGD Cash,Accumulating,6,1.57,16.9,6.4,
AB International Health Care Portfolio Fund,LU0097089360,Equity,Healthcare,Global,USD Cash,Accumulating,6,1.14,3.4,3.1,
AB International Health Care Portfolio Fund,LU0289739699,Equity,Healthcare,Global,SGD Cash,Accumulating,6,1.06,-0.1,0.7,
Capital Group New Economy Fund,LU2032731189,Equity,Growth,Global,USD Cash,Accumulating,5,0.9,49.1,26.6,
Capital Group New Economy Fund,LU2050928626,Equity,Growth,Global,"SGD Cash, SRS",Accumulating,5,0.9,45.3,24.6,
Capital Group New Economy Fund,LU2050929780,Equity,Growth,Global,CPF OA,Accumulating,5,0.9,44.2,23.7,
Capital Group New Economy Fund AUD-Hedged,LU2230629201,Equity,Growth,Global,AUD Cash,Accumulating,5,0.9,44.8,23.4,
Amundi Prime USA Fund,LU2420245594,Equity,Index,US,USD Cash,Accumulating,5,0.05,30.5,21.6,
Amundi Prime USA Fund,LU2420246055,Equity,Index,US,"SGD Cash, CPF OA, SRS",Accumulating,5,0.05,27.3,19.8,
PIMCO GIS StocksPLUS Fund,IE0002459539,Equity,Large Cap,US,USD Cash,Accumulating,5,0.55,31.6,21.5,
iShares US Index Fund (IE) S&P 500,IE00BD0NCT25,Equity,Index,US,USD Cash,Accumulating,5,0.08,30.6,20.9,
iShares US Index Fund (IE) S&P 500,IE0000F26BG9,Equity,Index,US,"SGD Cash, SRS",Accumulating,5,0.08,27.3,19.0,
LionGlobal Infinity U.S. 500 Stock Index Fund,SG9999003297,Equity,Index,US,USD Cash,Accumulating,5,0.29,29.8,20.5,
LionGlobal Infinity U.S. 500 Stock Index Fund,SG9999003289,Equity,Index,US,"SGD Cash, SRS",Accumulating,5,0.29,26.6,18.6,
Allspring US All Cap Growth Fund,LU0353189763,Equity,Growth,US,USD Cash,Accumulating,5,0.95,28.7,20.7,
Allspring US All Cap Growth Fund SGD-Hedged,LU2087625088,Equity,Growth,US,SGD Cash,Accumulating,5,1.03,23.8,16.9,
AB American Growth Portfolio Fund,LU0079475348,Equity,Growth,US,USD Cash,Accumulating,5,0.94,22.9,19.3,
AB American Growth Portfolio Fund,LU0289923608,Equity,Growth,US,SGD Cash,Accumulating,5,0.98,18.8,16.5,
AB American Growth Portfolio Fund SGD-Hedged,LU1979441026,Equity,Growth,US,SGD Cash,Accumulating,5,0.99,18.2,15.7,
Goldman Sachs North America Enhanced Index Sustainable Equity Fund,LU2037301442,Equity,ESG/Index,US,USD Cash,Accumulating,5,0.38,27.8,19.5,
Goldman Sachs North America Enhanced Index Sustainable Equity Fund,LU2715298308,Equity,ESG/Index,US,"SGD Cash, SRS",Accumulating,5,0.38,24.7,,
Dimensional US Core Equity Fund,IE00BYTYVB81,Equity,Index/Factor,US,USD Cash,Accumulating,5,0.23,30.9,18.7,
Dimensional US Core Equity Fund,IE00BLFJBY96,Equity,Index/Factor,US,"SGD Cash, SRS",Accumulating,5,0.23,27.5,16.8,
PineBridge US Large Cap Research Enhanced Fund,IE00BWXC8680,Equity,Large Cap,US,"SGD Cash, CPF OA, SRS",Accumulating,5,0.76,21.9,17.4,
Franklin U.S. Opportunities Fund,LU1267930730,Equity,Growth,US,CPF OA,Accumulating,5,1.0,16.6,17.3,
